iter	Passed	Remaining
0	139	138891
1	139	69750
2	141	47062
3	143	35652
4	144	28666
5	145	24108
6	147	20854
7	148	18436
8	150	16534
9	151	14972
10	152	13696
11	153	12637
12	154	11706
13	155	10932
14	156	10245
15	156	9646
16	157	9109
17	158	8630
18	158	8202
19	159	7827
20	160	7488
21	161	7174
22	162	6886
23	162	6622
24	163	6377
25	164	6154
26	164	5939
27	165	5745
28	166	5561
29	166	5389
30	167	5229
31	167	5078
32	168	4935
33	169	4803
34	169	4676
35	170	4558
36	170	4445
37	171	4341
38	172	4240
39	172	4142
40	173	4052
41	173	3966
42	174	3883
43	175	3806
44	175	3731
45	176	3660
46	177	3589
47	177	3523
48	178	3462
49	179	3403
50	179	3343
51	180	3289
52	181	3236
53	181	3184
54	182	3134
55	183	3087
56	183	3040
57	184	2994
58	184	2950
59	185	2907
60	186	2865
61	186	2826
62	187	2787
63	187	2748
64	188	2712
65	189	2676
66	189	2642
67	190	2612
68	191	2581
69	191	2550
70	192	2521
71	193	2492
72	193	2463
73	194	2434
74	195	2406
75	195	2379
76	196	2352
77	196	2327
78	197	2302
79	198	2279
80	198	2255
81	199	2233
82	199	2207
83	200	2185
84	200	2163
85	201	2142
86	202	2122
87	202	2102
88	203	2082
89	204	2064
90	204	2046
91	205	2029
92	206	2011
93	206	1993
94	207	1977
95	208	1959
96	208	1942
97	209	1925
98	209	1910
99	210	1893
100	211	1878
101	211	1863
102	212	1849
103	212	1834
104	213	1819
105	213	1804
106	214	1790
107	215	1775
108	215	1761
109	216	1748
110	216	1735
111	217	1721
112	217	1710
113	218	1697
114	219	1685
115	219	1674
116	220	1661
117	220	1651
118	221	1640
119	222	1629
120	222	1619
121	223	1607
122	223	1597
123	224	1586
124	225	1576
125	225	1567
126	226	1556
127	227	1546
128	227	1537
129	228	1527
130	228	1518
131	229	1509
132	230	1501
133	230	1491
134	231	1483
135	232	1474
136	232	1466
137	233	1457
138	233	1448
139	234	1440
140	235	1432
141	235	1422
142	236	1415
143	236	1407
144	237	1401
145	238	1394
146	239	1388
147	239	1381
148	240	1374
149	241	1368
150	242	1361
151	243	1357
152	244	1351
153	244	1345
154	245	1338
155	246	1331
156	246	1324
157	247	1317
158	247	1310
159	248	1303
160	248	1296
161	249	1290
162	249	1283
163	250	1277
164	251	1272
165	252	1270
166	253	1266
167	254	1261
168	255	1256
169	256	1250
170	256	1244
171	257	1238
172	257	1233
173	258	1227
174	259	1221
175	259	1216
176	260	1210
177	260	1204
178	261	1199
179	262	1194
180	262	1188
181	263	1183
182	263	1178
183	264	1172
184	265	1167
185	265	1162
186	266	1158
187	267	1153
188	267	1149
189	268	1144
190	269	1140
191	269	1135
192	270	1130
193	271	1126
194	271	1121
195	272	1116
196	272	1112
197	273	1107
198	274	1102
199	274	1098
200	275	1093
201	275	1089
202	276	1086
203	277	1082
204	278	1078
205	278	1074
206	279	1070
207	280	1066
208	280	1062
209	281	1059
210	282	1056
211	283	1053
212	284	1049
213	284	1045
214	285	1042
215	286	1039
216	287	1036
217	287	1032
218	288	1028
219	289	1025
220	289	1021
221	290	1018
222	291	1015
223	292	1012
224	292	1008
225	293	1005
226	294	1001
227	294	998
228	295	994
229	296	991
230	297	988
231	297	985
232	298	982
233	299	979
234	300	976
235	300	973
236	301	970
237	302	967
238	302	964
239	303	961
240	304	958
241	305	955
242	305	951
243	306	948
244	306	945
245	307	942
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	924
252	312	922
253	313	920
254	313	917
255	314	914
256	315	911
257	316	909
258	316	906
259	317	903
260	317	900
261	318	897
262	319	895
263	320	892
264	320	889
265	321	886
266	321	883
267	322	880
268	323	878
269	323	875
270	324	872
271	324	869
272	325	866
273	326	864
274	326	862
275	327	859
276	328	857
277	329	855
278	329	852
279	330	850
280	331	847
281	331	844
282	332	842
283	333	839
284	333	837
285	334	834
286	334	831
287	335	829
288	336	827
289	336	824
290	337	822
291	338	819
292	338	817
293	339	814
294	339	812
295	340	809
296	341	807
297	341	805
298	342	803
299	343	800
300	343	798
301	344	796
302	345	793
303	345	791
304	346	788
305	346	786
306	347	784
307	347	781
308	348	779
309	349	777
310	350	775
311	350	773
312	351	771
313	352	769
314	352	766
315	353	764
316	354	762
317	354	760
318	355	758
319	355	756
320	356	753
321	357	752
322	358	750
323	358	748
324	359	746
325	359	744
326	360	741
327	361	739
328	361	737
329	362	735
330	363	733
331	363	731
332	364	729
333	364	727
334	365	725
335	366	723
336	366	721
337	367	720
338	368	718
339	368	716
340	369	714
341	370	712
342	370	710
343	371	708
344	372	707
345	373	705
346	373	703
347	374	701
348	375	700
349	376	698
350	376	696
351	377	694
352	378	693
353	379	691
354	379	690
355	380	688
356	381	686
357	382	685
358	382	683
359	383	682
360	384	680
361	385	679
362	386	678
363	387	677
364	388	675
365	389	673
366	389	672
367	390	670
368	391	669
369	391	667
370	392	665
371	393	663
372	393	662
373	394	660
374	395	658
375	395	657
376	396	655
377	397	653
378	397	651
379	398	649
380	398	648
381	399	646
382	400	644
383	400	642
384	401	641
385	401	639
386	402	637
387	403	636
388	404	635
389	405	634
390	405	632
391	406	630
392	407	629
393	407	627
394	408	625
395	409	624
396	409	622
397	410	620
398	411	619
399	411	617
400	412	616
401	413	614
402	413	612
403	414	611
404	414	609
405	415	607
406	416	606
407	416	604
408	417	602
409	417	601
410	418	599
411	419	598
